bloodline_type,partner_type,result_primary_type,partner_influence,visual_rule,system_rule
スライム,スライム,スライム,柔軟、分裂、吸収,粘体・滴・弾力を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,ドラゴン,スライム,鱗、息、威圧,粘体・滴・弾力を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,けもの,スライム,本能、嗅覚、突進,粘体・滴・弾力を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,鳥翼,スライム,飛行、風、歌声,粘体・滴・弾力を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,自然,スライム,再生、胞子、根,粘体・滴・弾力を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,むし,スライム,毒、糸、群れ,粘体・滴・弾力を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,水棲,スライム,水中適応、泡、潮,粘体・滴・弾力を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,物質,スライム,装甲、機構、無機質化,粘体・滴・弾力を主身体に保ち、鉱石・道具・機械・建築を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,不死,スライム,呪い、吸収、夜行,粘体・滴・弾力を主身体に保ち、骨・霊火・影・包帯を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
スライム,幻魔,スライム,魔法、幻惑、儀式,粘体・滴・弾力を主身体に保ち、魔力体・人型・異界器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,スライム,ドラゴン,柔軟、分裂、吸収,鱗・角・尾・ブレス器官を主身体に保ち、粘体・滴・弾力を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,ドラゴン,ドラゴン,鱗、息、威圧,鱗・角・尾・ブレス器官を主身体に保ち、鱗・角・尾・ブレス器官を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,けもの,ドラゴン,本能、嗅覚、突進,鱗・角・尾・ブレス器官を主身体に保ち、毛皮・牙・四肢を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,鳥翼,ドラゴン,飛行、風、歌声,鱗・角・尾・ブレス器官を主身体に保ち、翼・羽毛・くちばしを20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,自然,ドラゴン,再生、胞子、根,鱗・角・尾・ブレス器官を主身体に保ち、葉・菌糸・樹皮・花を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,むし,ドラゴン,毒、糸、群れ,鱗・角・尾・ブレス器官を主身体に保ち、外骨格・複眼・節足を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
ドラゴン,水棲,ドラゴン,水中適応、泡、潮,鱗・角・尾・ブレス器官を主身体に保ち、ひれ・えら・殻・触手を20〜35%加える,基本レシピ。相手要素は副タグ・外見・耐性・継承特技へ反映
