a,b,a_desc,b_desc,combined,visual,silhouette,color,text
U1-16,U2-25,葉と枝角を持つ子ジカ,葉と枝角を持つ子ジカ,0.91386,0.86107,0.87405,0.84916,1.0
U2-17,U3-06,大耳の紫コウモリ,大耳の紫コウモリ,0.91343,0.86037,0.85387,0.86642,1.0
U3-01,U5-01,泡を出す青いスライム,泡を出す青いスライム,0.91003,0.85488,0.82204,0.88526,1.0
U1-05,U3-26,雲の体を持つクラゲ,雲の体を持つクラゲ,0.90663,0.8494,0.83113,0.8663,1.0
U2-14,U3-23,旅装をしたキノコ,旅装をしたキノコ,0.90552,0.84761,0.82617,0.86745,1.0
U2-30,U6-18,発光器を持つ青いチョウチンアンコウ,発光器を持つ青いチョウチンアンコウ,0.90238,0.84254,0.87844,0.80946,1.0
U4-07,U5-07,泡をまとった青赤の海竜,泡をまとった青赤の海竜,0.89922,0.83745,0.84251,0.83283,1.0
U1-28,U2-27,氷結晶をまとった白フクロウ,氷をまとった白フクロウ,0.88902,0.87771,0.88355,0.87239,0.90746
U4-13,U5-24,火山を背負った溶岩ガメ,火山を背負った溶岩ガメ,0.87145,0.79266,0.78982,0.79537,1.0
U4-25,U6-12,雷をまとった青いオオカミ,青いオオカミ,0.84788,0.81762,0.86569,0.77331,0.89726
U3-16,U5-10,炎をまとった黒い小鳥,炎をまとった黒い鳥,0.84627,0.90427,0.91345,0.89584,0.75165
U4-21,U6-24,金装甲をまとった青い海竜,水をまとった青い海竜,0.84593,0.87692,0.88848,0.86631,0.79537
U5-30,U6-30,王冠とローブの黄金スライム王,王冠と口ひげの黄金スライム王,0.8415,0.90842,0.92396,0.89412,0.73232
U1-19,U3-12,泥をまとったカエル,泥をまとったカエル,0.82544,0.71846,0.70477,0.7311,1.0
U2-03,U6-09,苔むした丸岩ゴーレム,苔むした岩ゴーレム,0.82164,0.86399,0.93109,0.80211,0.75253
G1-10,G3-29,郵便箱ミミック,工具箱ミミック,0.81883,0.82808,0.84559,0.812,0.80375
U4-23,U6-29,王冠と杖を持つリッチ王,王冠と杖を持つ黒いリッチ王,0.81873,0.80012,0.78501,0.81413,0.84911
U5-01,U6-01,泡を出す青いスライム,笑顔の青いスライム,0.80846,0.8758,0.87892,0.87294,0.69858
U1-06,U2-30,提灯のような発光器を持つチョウチンアンコウ,発光器を持つ青いチョウチンアンコウ,0.8056,0.8443,0.88868,0.80339,0.74247
U2-03,U3-27,苔むした丸岩ゴーレム,苔むした小型岩ゴーレム,0.80224,0.86759,0.91093,0.82767,0.69561
U3-27,U6-09,苔むした小型岩ゴーレム,苔むした岩ゴーレム,0.80014,0.84247,0.88399,0.80423,0.73107
U3-01,U6-01,泡を出す青いスライム,笑顔の青いスライム,0.78702,0.84123,0.84525,0.83758,0.69858
U2-28,U6-05,大口の食虫植物,大口の巨大食虫植物,0.78552,0.80095,0.82585,0.77808,0.76034
U2-14,U6-17,旅装をしたキノコ,赤傘のキノコ,0.78057,0.89734,0.92586,0.87103,0.59005
U1-08,U3-10,青い鬼火をまとった小さなガイコツ,青い鬼火をまとったガイコツ,0.78047,0.74063,0.68004,0.79666,0.84548
U2-28,U4-24,大口の食虫植物,巨大化した食虫植物,0.77714,0.83535,0.87455,0.79922,0.68219
G3-09,G3-29,旅行かばんミミック,工具箱ミミック,0.77415,0.84415,0.84895,0.83981,0.65993
U4-24,U6-05,巨大化した食虫植物,大口の巨大食虫植物,0.77207,0.84755,0.86131,0.83493,0.64892
U1-06,U6-18,提灯のような発光器を持つチョウチンアンコウ,発光器を持つ青いチョウチンアンコウ,0.77028,0.78732,0.85095,0.72863,0.74247
G1-24,G3-29,弁当箱ミミック,工具箱ミミック,0.76928,0.7492,0.86429,0.64306,0.80205
U1-26,U4-24,大口を開けた食虫植物,巨大化した食虫植物,0.76653,0.82406,0.83992,0.80951,0.67267
U2-06,U3-07,水の体と巻貝を持つカタツムリ,青い体と橙色の殻のカタツムリ,0.76414,0.872,0.87144,0.8726,0.58816
G3-04,G3-29,洋服ダンスミミック,工具箱ミミック,0.7619,0.82369,0.82301,0.8244,0.66108
U1-26,U2-28,大口を開けた食虫植物,大口の食虫植物,0.75759,0.81,0.80167,0.81778,0.67207
U4-19,U5-28,星をまとった白い神鹿,星をまとった青い神鹿,0.75667,0.74543,0.75464,0.73692,0.77499
U2-17,U6-08,大耳の紫コウモリ,一つ目の紫コウモリ,0.75604,0.72501,0.70394,0.74453,0.80666
G1-10,G3-09,郵便箱ミミック,旅行かばんミミック,0.75292,0.80905,0.82122,0.7979,0.66133
G1-10,G1-24,郵便箱ミミック,弁当箱ミミック,0.75075,0.71827,0.82052,0.62398,0.80375
U1-13,U2-12,サボテンを背負った小型恐竜,花を咲かせた小型サボテン,0.74946,0.89204,0.9312,0.85598,0.51683
G1-10,G3-04,郵便箱ミミック,洋服ダンスミミック,0.74862,0.80142,0.84596,0.76038,0.66248
G3-18,G3-29,自動販売機ミミック,工具箱ミミック,0.74789,0.8018,0.81775,0.78715,0.65993
U5-09,G3-29,舌を出す宝箱ミミック,工具箱ミミック,0.74779,0.76545,0.82779,0.70795,0.71898
G3-04,G3-09,洋服ダンスミミック,旅行かばんミミック,0.74703,0.83887,0.83088,0.84632,0.59719
U1-07,U2-17,木の実を背負った紫コウモリ,大耳の紫コウモリ,0.74645,0.80574,0.8283,0.785,0.64971
U1-26,U6-05,大口を開けた食虫植物,大口の巨大食虫植物,0.74629,0.81808,0.81361,0.82231,0.62914
G4-02,G4-18,時計仕掛けの宮殿巨人,時計塔の怪物,0.7462,0.83418,0.77655,0.88741,0.60267
U2-06,U2-18,水の体と巻貝を持つカタツムリ,青結晶の殻を持つカタツムリ,0.74594,0.80313,0.88517,0.72751,0.65263
U5-20,U6-12,紫炎をまとった影オオカミ,青いオオカミ,0.74587,0.74629,0.77096,0.72358,0.74519
U2-23,U4-02,青白いグリフォン,金青の装飾を持つ聖獣グリフォン,0.7441,0.83362,0.90697,0.7659,0.59805
U1-10,U2-18,バラの殻を持つカタツムリ,青結晶の殻を持つカタツムリ,0.74357,0.71903,0.90565,0.54665,0.78361
