recipe_id,recipe_kind,bloodline_id,bloodline_name,partner_ids,partner_names,target_id,target_name,target_tier,target_type,design_rationale,status
F001,固定×固定,U2-03,リーフゴレム,U2-10,ソルピリカ,U4-06,フレアゴレム,上位,物質,苔岩の体へ火精の核を入れ、溶岩巨像を作る,試作・能力システム確定後に再検証
F002,固定×固定,U2-09,リーフタートル,U2-10,ソルピリカ,U4-13,フレアガメ,上位,幻魔,甲羅へ火山性を定着させる,試作・能力システム確定後に再検証
F003,固定×固定,U1-16,リーフフォーン,U2-22,アストラピリカ,U4-19,アストラセントス,上位,幻魔,森の子ジカへ星精の加護を与える,試作・能力システム確定後に再検証
F004,固定×固定,U2-11,ウィッチクロウ,U2-10,ソルピリカ,U4-22,フレアフェニクス,上位,鳥翼,黒い鳥へ火精の核を継承する,試作・能力システム確定後に再検証
F005,複数固定の特殊合体,U1-30,アクアドラゴ,U3-17|G1-21,アクアフィン|マグネッチ,U4-21,ゴルドマリドラ,上位,ドラゴン,水竜へ魚の水中適応と磁性装甲を加える,試作・能力システム確定後に再検証
F006,固定×固定,U1-08,フレアスカル,U5-29,ノクスリーパー,U4-23,ゴルドリッチ,上位,不死,小ガイコツを血統に、死神の呪力を王格へ凝縮する,試作・能力システム確定後に再検証
F007,固定×固定,U1-26,トラッププラント,U5-22,マーシュトレント,U4-24,ギガトラップ,上位,自然,捕食器官と巨樹の生命力を固定する,試作・能力システム確定後に再検証
F008,固定×固定,U2-04,フロストラビ,U2-22,アストラピリカ,U5-11,アストララビ,中位,けもの,氷兎へ星月の性質を混ぜる,試作・能力システム確定後に再検証
F009,固定×固定,U2-14,マッシュ,G1-17,ベルル,U5-15,ソナマッシュ,中位,自然,旅キノコへ音の器官を加える,試作・能力システム確定後に再検証
F010,固定×固定,U1-09,モール,U1-03,アクアビートル,U5-18,ヴェノモール,中位,けもの,鉱石を掘る本能と結晶甲殻を合わせる,試作・能力システム確定後に再検証
F011,固定×固定,G1-08,カップルル,G2-12,ユゲポワ,G3-02,ポットゴレム,中位,物質,器の体へ蒸気生命を宿す,試作・能力システム確定後に再検証
F012,複数固定の特殊合体,G1-09,トキッコ,G1-21|G2-06,マグネッチ|コメットン,G3-30,クロノけ,中位,物質,時計・磁力・天体指向を一つの機構へ統合する,試作・能力システム確定後に再検証
F013,固定×固定,G1-10,ポストン,G1-29,メジャリン,G3-09,かばんミミッ,中位,物質,収納ミミックへ伸縮機構を加え旅行かばん化する,試作・能力システム確定後に再検証
F014,固定×固定,G1-06,ゼンマイドール,G1-22,ピンコ,G3-13,り,中位,物質,ぜんまい人形を安全ピンの関節で戦闘用にする,試作・能力システム確定後に再検証
F015,固定×固定,G1-18,ハモニカン,G1-30,ボタンボール,G3-01,アコーディオン,中位,けもの,音の道具と多数のボタンを蛇腹装甲へまとめる,試作・能力システム確定後に再検証
F016,複数固定の特殊合体,G3-30,クロノけ,G3-17|G2-05,スノードームゴレ|オロロール,G5-24,インフィニティコ,最上位,物質,中位方位機構へ小世界とオーロラ動力を組み込み、無限方位盤へ昇華する,試作・能力システム確定後に再検証
F017,固定×固定,G3-28,ミラレイス,G3-24,ルークナイト,G4-10,ミラナイト,上位,物質,鏡霊を騎士の血統へ封じ、迷宮装甲にする,試作・能力システム確定後に再検証
F018,複数固定の特殊合体,G3-03,ソナムカデ,G3-14|G2-01,ディスクウォード|カゲプル,G4-08,ソナピアノ,上位,物質,音盤・多脚・影だまりから巨大演奏魔を作る,試作・能力システム確定後に再検証
F019,複数固定の特殊合体,G3-11,ギガント,G3-22|G2-06,フレアオーブン|コメットン,G4-09,メテオフォージ,上位,物質,風力炉へ隕石核を落とし込む,試作・能力システム確定後に再検証
F020,固定×固定,G3-20,ポストゴレム,G3-18,ミミッ,G4-22,コロッサ,上位,物質,二つの都市設備を遊園地を背負う巨像へ拡張する,試作・能力システム確定後に再検証
F021,固定×固定,G4-02,クロノギガント,G5-24,インフィニティコ,G5-16,アルカディヴァ,最上位,物質,宮殿時計と無限方位盤を世界時計へ統合する,試作・能力システム確定後に再検証
F022,固定×固定,G4-10,ミラナイト,G4-23,ルナ,G5-11,ソルセインティア,最上位,物質,鏡迷宮へ月観測の聖性を加える,試作・能力システム確定後に再検証
F023,固定×固定,G4-12,ノクス,G4-30,アルカガーディア,G5-19,ノクスく,最上位,幻魔,黒穴魔術と異次元門を固定して虚空の主を作る,試作・能力システム確定後に再検証
F024,固定×固定,G4-28,ソル,G4-30,アルカガーディア,G5-17,アストラつ,最上位,物質,虹大聖堂を異界へ接続し星雲化する,試作・能力システム確定後に再検証
F025,固定×固定,G4-09,メテオフォージ,G4-06,ソナ,G5-20,アストラえる,最上位,物質,隕石炉と黒曜石の音楽箱を星鍛造炉へ昇華する,試作・能力システム確定後に再検証
F026,固定×固定,G4-16,パペットキング,G4-26,ゴルドキング,G5-29,アストラエンペラ,最上位,物質,操り王へ多数の王権を集め宇宙皇帝化する,試作・能力システム確定後に再検証
