id,sheet_id,source_sheet,row,col,tier,working_name,description,type,secondary_types,status,cluster_id,dedup_reason,name_status,type_status
U1-01,U1,送付画像1,1,1,下位,アクアスライム,葉を生やした青い水スライム,スライム,,除外候補,,ドラクエ系の青スライムを連想しやすい,仮名・要レビュー,暫定・要レビュー
U1-02,U1,送付画像1,1,2,下位,フレアゾン,頭に火が灯る小さなゾンビ,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-03,U1,送付画像1,1,3,下位,アクアビートル,青い結晶を背負った甲虫,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-04,U1,送付画像1,1,4,下位,フレアインプ,どんぐりを抱えた赤い小悪魔,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-05,U1,送付画像1,1,5,下位,メデュラ,雲の体を持つクラゲ,水棲,,採用,D004,雲の体のクラゲの代表案,仮名・要レビュー,暫定・要レビュー
U1-06,U1,送付画像1,1,6,下位,ソルアングラー,提灯のような発光器を持つチョウチンアンコウ,水棲,,採用,D006,青いチョウチンアンコウの代表案,仮名・要レビュー,暫定・要レビュー
U1-07,U1,送付画像1,2,1,下位,ヴェノバット,木の実を背負った紫コウモリ,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-08,U1,送付画像1,2,2,下位,フレアスカル,青い鬼火をまとった小さなガイコツ,不死,,採用,D014,青い鬼火のガイコツの代表案,仮名・要レビュー,暫定・要レビュー
U1-09,U1,送付画像1,2,3,下位,モール,鉱石を掘るモグラ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-10,U1,送付画像1,2,4,下位,スネイル,バラの殻を持つカタツムリ,水棲,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-11,U1,送付画像1,2,5,下位,フロストインプ,氷の角を持つ白い小悪魔,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-12,U1,送付画像1,2,6,下位,リーフキャタル,苔と岩の装甲を持つイモムシ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-13,U1,送付画像1,3,1,下位,サウル,サボテンを背負った小型恐竜,ドラゴン,自然,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-14,U1,送付画像1,3,2,下位,フレアレイス,紫炎でできた一つ目の霊体,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-15,U1,送付画像1,3,3,下位,クロウ,薬瓶を運ぶ黒いカラス,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-16,U1,送付画像1,3,4,下位,リーフフォーン,葉と枝角を持つ子ジカ,けもの,,採用,D001,葉角の子ジカの代表案,仮名・要レビュー,暫定・要レビュー
U1-17,U1,送付画像1,3,5,下位,フレアダンゴロ,火山岩のダンゴムシ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-18,U1,送付画像1,3,6,下位,フロスト,提灯を持つ白い幽霊,不死,,除外候補,,U2-29のランタン幽霊を採用。こちらは役割重複,仮名・要レビュー,暫定・要レビュー
U1-19,U1,送付画像1,4,1,下位,フロッグ,泥をまとったカエル,水棲,,採用,D011,泥をまとうカエルの代表案,仮名・要レビュー,暫定・要レビュー
U1-20,U1,送付画像1,4,2,下位,アストラスライム,星をまとった黄色いスライム,スライム,,除外候補,,ドラクエ系の色違いスライムを連想しやすい,仮名・要レビュー,暫定・要レビュー
U1-21,U1,送付画像1,4,3,下位,アクアモン,貝殻を背負った泡の生物,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-22,U1,送付画像1,4,4,下位,リーフパンプ,葉を生やしたカボチャの精,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-23,U1,送付画像1,4,5,下位,ガーゴ,石像になった小型ガーゴイル,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-24,U1,送付画像1,4,6,下位,ソルビー,光る腹を持つハチ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-25,U1,送付画像1,5,1,下位,アクアゾン,骨が見える青いゾンビ魚,不死,水棲,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-26,U1,送付画像1,5,2,下位,トラッププラント,大口を開けた食虫植物,自然,,採用,D012,大口の食虫植物の代表案,仮名・要レビュー,暫定・要レビュー
U1-27,U1,送付画像1,5,3,下位,リーフゴブ,鍵を持つ緑のゴブリン,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-28,U1,送付画像1,5,4,下位,フロストオウル,氷結晶をまとった白フクロウ,鳥翼,,採用,D008,氷の白フクロウの代表案,仮名・要レビュー,暫定・要レビュー
U1-29,U1,送付画像1,5,5,下位,スコルピ,砂地のオレンジサソリ,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U1-30,U1,送付画像1,5,6,下位,アクアドラゴ,泡をまとった青い子ドラゴン,ドラゴン,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-01,U2,送付画像2,1,1,下位,リーフスライム,葉を生やした緑のスライム,スライム,,除外候補,,葉付きの青緑スライムで既存作品を連想しやすい,仮名・要レビュー,暫定・要レビュー
U2-02,U2,送付画像2,1,2,下位,フレアフォクス,炎の尾を持つ小さなキツネ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-03,U2,送付画像2,1,3,下位,リーフゴレム,苔むした丸岩ゴーレム,物質,,採用,D013,苔むした丸岩ゴーレムの代表案,仮名・要レビュー,暫定・要レビュー
U2-04,U2,送付画像2,1,4,下位,フロストラビ,氷結晶を抱く白ウサギ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-05,U2,送付画像2,1,5,下位,リーフピリカ,花そのものの小さな精,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-06,U2,送付画像2,1,6,下位,アクアスネイル,水の体と巻貝を持つカタツムリ,水棲,,採用,D015,青い水カタツムリの代表案,仮名・要レビュー,暫定・要レビュー
U2-07,U2,送付画像2,2,1,下位,アクアビー,青い羽のハチ妖精,むし,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-08,U2,送付画像2,2,2,下位,ヴェノスカル,紫の鬼火に包まれたドクロ,不死,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-09,U2,送付画像2,2,3,下位,リーフタートル,葉を背負った小さなカメ,けもの,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-10,U2,送付画像2,2,4,下位,ソルピリカ,太陽のような炎の精,幻魔,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-11,U2,送付画像2,2,5,下位,ウィッチクロウ,魔女帽子をかぶった黒いカラス,鳥翼,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
U2-12,U2,送付画像2,2,6,下位,リーフカクタス,花を咲かせた小型サボテン,自然,,採用,,独自性を確認,仮名・要レビュー,暫定・要レビュー
